,Account,Date,Text,Compound,Positive,Neutral,Negative
31,@BBC,2018-03-14 11:56:23+00:00,"RT @bbcthree: ""Having vitiligo is like having something that nobody else has."" https://t.co/IG2a06mxGV",0.3612,0.172,0.828,0.0
32,@BBC,2018-03-14 11:56:14+00:00,RT @bbcouch: George has autism and other health conditions - but his love of skiing is helping him take on the outside world ⛷❤️ https://t.…,0.8625,0.281,0.719,0.0
33,@BBC,2018-03-14 11:30:12+00:00,"💫 Stephen Hawking: A life in pictures.
📸 👉 https://t.co/0NOtTi7lyD https://t.co/Q1yeTunvnY",0.0,0.0,1.0,0.0
34,@BBC,2018-03-14 10:27:40+00:00,"'You could ask my dad any question.'

In memory of Stephen Hawking, here's an earlier interview with his daughter L… https://t.co/6OQlwLfg2d",0.0,0.0,1.0,0.0
35,@BBC,2018-03-14 10:01:19+00:00,RT @BBCArchive: Stephen Hawking first appeared on the BBC in the 1977 documentary The Key to the Universe: The Search for the Laws of Creat…,0.0,0.0,1.0,0.0
36,@BBC,2018-03-14 09:00:05+00:00,'I was homeless on these streets - I'm the perfect tour guide.' https://t.co/jxirkZzebu,0.5719,0.252,0.748,0.0
37,@BBC,2018-03-14 08:35:41+00:00,"Despite 8 million tonnes of plastic entering UK oceans each year, researchers can only account for where 1% of it e… https://t.co/qHNjcKK9Ap",0.0,0.0,1.0,0.0
38,@BBC,2018-03-14 07:07:28+00:00,Stephen Hawking had once written that he had motor neurone disease for practically all his adult life but said that… https://t.co/6oyYB57iE6,0.0,0.0,1.0,0.0
39,@BBC,2018-03-14 07:03:36+00:00,RT @BBCr4today: This morning: World renowned physicist Stephen Hawking has died at the age of 76. Here he is reading an extract from his 19…,-0.5574,0.0,0.87,0.13
40,@BBC,2018-03-14 06:28:18+00:00,"RT @BBCWorld: A brilliant mind,

wicked sense of humor

and a heart big enough to hold the universe. ⭐🚀

Rest among the stars, Stephen Hawk…",0.3612,0.201,0.683,0.116
41,@BBC,2018-03-14 06:21:50+00:00,"💔 World renowned physicist Stephen Hawking has died at the age of 76.
https://t.co/WxYeUddUJB https://t.co/Sbl0zn1Dma",-0.5574,0.0,0.783,0.217
42,@BBC,2018-03-13 20:00:05+00:00,"Wakanda has Black Panther. 

 Senegal has Sandale-man. https://t.co/T9JnB3pNeq",0.0,0.0,1.0,0.0
43,@BBC,2018-03-13 19:00:05+00:00,⚔ Charis is 19 years old and makes SWORDS for a living! https://t.co/kUUiAjIwNu,0.0,0.0,1.0,0.0
44,@BBC,2018-03-13 18:30:05+00:00,"Microplastics are littering riverbeds across the UK, with hundreds of thousands of plastic particles per square met… https://t.co/cGhDdnQrTm",0.0,0.0,1.0,0.0
45,@BBC,2018-03-13 17:30:06+00:00,❤️💃🏻 Ballet is STILL the love of Joyce's life at 98-years-old! https://t.co/nzr3Jy1wbS,0.6696,0.29,0.71,0.0
46,@BBC,2018-03-13 17:16:46+00:00,"RT @bbcthree: ""No one needs airbags because you've got two"" 

.... and others things not to say to people who've had cosmetic procedures ht…",-0.296,0.0,0.913,0.087
47,@BBC,2018-03-13 17:13:13+00:00,"RT @BBCR1: Now we have a trailer for #FantasticBeasts: The Crimes of Grindelwald, please can we take a moment to discuss Eddie Redmanyne's…",0.3182,0.103,0.897,0.0
48,@BBC,2018-03-13 17:02:28+00:00,"RT @bbcwritersroom: #Networking, a necessary evil - and why you've got to learn to embrace it! 

Check out @PhilipShelley1's latest blog fo…",-0.5255,0.092,0.72,0.188
49,@BBC,2018-03-13 14:00:22+00:00,"From making serious science genuinely popular to his sense of humour, here are seven reasons we ❤️ Stephen Hawking.… https://t.co/zWNEpoOttE",0.6808,0.244,0.702,0.054
50,@BBC,2018-03-13 13:00:08+00:00,🎨 This scheme to recycle unused paint has saved hundreds of tons of leftovers from ending up in landfill. https://t.co/Y6oau3hK0s,0.4215,0.135,0.865,0.0
51,@BBC,2018-03-13 12:26:59+00:00,🙅💌 Fans of #KPop boyband #BigBang have been asked to stop sending fan mail to @IBGDRGN at the army base where he's… https://t.co/Swh0KwypL7,0.0258,0.09,0.824,0.086
52,@BBC,2018-03-13 12:03:24+00:00,"RT @bbcouch: During the Winter Olympics people across Britain were swept away by curling. And Aileen Neilson, captain of @ParalympicsGB’s c…",0.0,0.0,1.0,0.0
53,@BBC,2018-03-13 12:00:09+00:00,"Shakespeare's plays are famous around the world, yet much about the playwright is still a mystery. 

Here's what we… https://t.co/McqCcs3mMj",0.25,0.1,0.9,0.0
54,@BBC,2018-03-13 11:28:09+00:00,"RT @bbcthree: ""Underwater you feel nothing. You're at peace with yourself.""  #perfectday2018 https://t.co/zHpEQSzk4H",-0.431,0.0,0.808,0.192
55,@BBC,2018-03-13 11:26:58+00:00,"RT @BBCiPlayer: Renowned shop owner and music producer, Blacker Dread, was amongst the first pioneers of sound system culture in the UK 🇯🇲…",-0.4588,0.0,0.88,0.12
56,@BBC,2018-03-13 09:00:06+00:00,"🤔 Are we really born to prefer 'boys' or 'girls' toys? 

🐒 The answer might lie with monkeys... https://t.co/oI014dsJHD",0.0,0.0,1.0,0.0
57,@BBC,2018-03-13 08:30:07+00:00,"🗣 Accents can be subject to subtle forms of prejudice, but does that mean some are more appealing and trustworthy t… https://t.co/BgEMXgEzSr",0.6304,0.2,0.718,0.081
58,@BBC,2018-03-13 08:00:03+00:00,Marianne's search for her missing daughter could be straight out of the film #ThreeBillboards. https://t.co/dph6hhzlXi,-0.0772,0.111,0.76,0.129
59,@BBC,2018-03-12 20:17:27+00:00,"RT @BBCOne: ❤️ Edina, but kind of glad she's not our mum. https://t.co/lQINpsfQuA",0.5515,0.229,0.771,0.0
60,@BBC,2018-03-12 20:16:22+00:00,"RT @BBCnireland: Christopher suffered a severe, life-changing, brain injury. It changed his life and the life of his family. True North: My…",-0.7003,0.099,0.599,0.303
61,@BBC,2018-03-12 19:23:01+00:00,🌊 These three women are leading the way in ocean exploration. https://t.co/qwkMRVMiNl,0.2263,0.16,0.84,0.0
62,@BBC,2018-03-12 18:30:06+00:00,"🗓🥗 A week’s worth of veggie dishes from @ChefTomKerridge, @NigelSlater, @Nigella_Lawson and The @HairyBikers.
👉… https://t.co/VvTZRToT6L",0.2263,0.119,0.881,0.0
63,@BBC,2018-03-12 17:30:05+00:00,"'There's nothing in the dictionary for that.'

🎶❤️ The amazing moment eight London teens hear an opera singer in th… https://t.co/J448SabIeC",0.5859,0.16,0.84,0.0
64,@BBC,2018-03-12 16:44:15+00:00,"RT @BBCTwo: Meet Marshaal and Amal, two of just six women working at this hotel in Oman.

#AmazingHotels #IWD2018 https://t.co/5zdDAFBrZ9",0.0,0.0,1.0,0.0
65,@BBC,2018-03-12 16:24:52+00:00,"RT @BBCOne: To celebrate the life of the amazing Ken Dodd, tonight we will be showing:

22:45 - Arena: Ken Dodd's Happiness
23:45 - Talking…",0.9022,0.357,0.643,0.0
66,@BBC,2018-03-12 16:17:43+00:00,RT @BBCnireland: AMAZING OPPORTUNITY: We're looking for female directors aged 18-30. Could you make a short film for BBC NI &amp; @bbcartsshow?…,0.8429,0.298,0.702,0.0
67,@BBC,2018-03-12 16:07:16+00:00,"😱 @Beyonce and Jay-Z are going on a joint tour called On The Run II, it has finally been confirmed. 
👉… https://t.co/sG72fSqfRi",0.0,0.0,1.0,0.0
68,@BBC,2018-03-12 15:55:51+00:00,"RT @BBCR1: ""Who is your least favourite Carpool Karaoke guest?""
 
@JKCorden always asks difficult questions... So @grimmers let celebs get…",-0.3612,0.0,0.884,0.116
69,@BBC,2018-03-12 14:00:09+00:00,"😕 Binoculars, wet wipes, glue, and other confusingly gendered products...
👉 https://t.co/iDxK2oSX4R https://t.co/5NxTrzbdb3",-0.34,0.0,0.806,0.194
70,@BBC,2018-03-12 13:30:45+00:00,"French fashion designer Hubert de Givenchy, who created famous looks for Audrey Hepburn and Jackie Kennedy, has die… https://t.co/UuWcTZ46c2",0.25,0.1,0.9,0.0
71,@BBC,2018-03-12 13:27:27+00:00,"RT @BBCBreakfast: Let's settle this... Which goes first on a scone, cream or jam? 

@MrDanWalker thinks it should be #jamfirst but @LouiseM…",0.0,0.0,1.0,0.0
72,@BBC,2018-03-12 12:59:05+00:00,'Our clothes can be a sixth sense.' https://t.co/DiN7gnxlon,0.0,0.0,1.0,0.0
73,@BBC,2018-03-12 12:46:06+00:00,RT @BBCR1: .@thegreatkhalid gives all the goosebumps with his Live Lounge cover of Tracy Chapman's 'Fast Car' ⭐️✨ https://t.co/03fLgeKklj,0.0,0.0,1.0,0.0
74,@BBC,2018-03-12 12:40:39+00:00,"RT @bbccomedy: In a nutshell, it's a foregone conclusion that you'll accidentally quote the big man during #ShakespeareWeek. The son of a b…",-0.34,0.0,0.888,0.112
75,@BBC,2018-03-12 12:19:24+00:00,RT @BBCWorld: Miami nightclub shut over horse stunt https://t.co/j4SjWAyDWo,0.0,0.0,1.0,0.0
76,@BBC,2018-03-12 12:00:09+00:00,"🎭 If you’ve ever been ‘in a pickle’, waited ‘with bated breath’, or gone on ‘a wild goose chase’, then you’ve been… https://t.co/iAh1LB98DU",0.0,0.0,1.0,0.0
77,@BBC,2018-03-12 10:58:16+00:00,"RT @BBCFOUR: Two common hair straightener temperatures: one's fine, but the other will destroy your hair... https://t.co/BEaLyTWdzy",-0.6542,0.066,0.709,0.225
78,@BBC,2018-03-12 10:55:19+00:00,"RT @bbcthree: ""It's great to go to the court knowing there's no ban... I'm still able to practice my faith while playing basketball.""  #per…",0.7579,0.282,0.647,0.071
